cod_provincia,nombre_prov,year,renta__media_de_la_renta_por_unidad_de_consumo,renta__mediana_de_la_renta_por_unidad_de_consumo,renta__renta_bruta_media_por_hogar,renta__renta_bruta_media_por_persona,renta__renta_neta_media_por_hogar,renta__renta_neta_media_por_persona,ingreso__fuente_de_ingreso_otras_prestaciones,ingreso__fuente_de_ingreso_otros_ingresos,ingreso__fuente_de_ingreso_pensiones,ingreso__fuente_de_ingreso_prestaciones_por_desempleo,ingreso__fuente_de_ingreso_salario,desig__distribucion_de_la_renta_p80_p20,desig__indice_de_gini,demog__edad_media_de_la_poblacion,demog__poblacion,demog__porcentaje_de_hogares_unipersonales,demog__porcentaje_de_poblacion_de_65_y_mas_anos,demog__porcentaje_de_poblacion_espanola,demog__porcentaje_de_poblacion_menor_de_18_anos,demog__tamano_medio_del_hogar,n_municipios_con_dato
25,Lleida,2019,19177.0,17150.0,37940.0,15232.0,32078.0,12811.0,4.0,16.6,22.3,1.3,55.0,2.4,28.4,47.4,206.0,31.8,26.2,91.9,14.3,2.5,219
25,Lleida,2020,19649.0,17500.0,39314.0,15715.0,33035.0,13234.0,4.45,14.9,22.05,3.4,53.3,2.5,28.9,47.6,193.0,32.4,26.2,91.7,13.9,2.5,231
25,Lleida,2021,20405.5,18550.0,41246.0,16695.0,34384.0,13799.0,3.95,16.0,21.5,2.1,54.849999999999994,2.5,28.5,47.4,190.0,32.2,25.7,90.8,14.2,2.4,231
25,Lleida,2022,21110.0,19250.0,42542.0,17187.0,34921.0,14150.0,4.1,15.1,22.0,1.5,55.8,2.5,29.1,47.4,197.0,32.5,26.0,90.4,14.1,2.4,225
25,Lleida,2023,22113.0,19950.0,45019.0,18370.0,37231.0,15139.0,4.3,14.9,22.1,1.4,55.9,2.4,28.6,47.5,195.0,32.8,26.0,89.8,14.1,2.4,223
26,La Rioja,2015,15502.5,13650.0,27999.0,12626.5,24097.0,10826.5,2.8,18.3,24.9,2.0,49.099999999999994,2.6,31.1,50.150000000000006,169.5,39.45,29.0,92.85,11.6,2.2,116
26,La Rioja,2016,15732.0,14000.0,28972.0,12854.0,24920.0,10985.0,2.7,17.7,25.2,1.8,50.6,2.6,31.5,49.8,169.0,39.0,29.4,93.1,12.1,2.2,113
26,La Rioja,2017,16251.5,14350.0,29212.0,13236.5,24905.0,11363.5,2.7,16.85,25.65,1.6,50.7,2.55,30.950000000000003,49.95,168.0,40.2,29.85,92.94999999999999,11.850000000000001,2.1,114
26,La Rioja,2018,16981.5,15050.0,30574.0,13896.0,26192.0,11840.0,2.9,18.0,25.45,1.45,51.05,2.6,30.5,49.9,161.5,39.1,29.25,91.5,11.75,2.1,112
26,La Rioja,2019,17435.0,15750.0,32323.0,14372.0,27433.0,12325.0,3.0,18.0,24.8,1.6,51.9,2.5,30.4,49.9,163.0,40.0,28.9,91.0,12.1,2.2,111
26,La Rioja,2020,17217.0,15750.0,31337.0,15736.0,26384.0,13487.0,3.4,14.1,26.7,4.0,50.2,2.6,30.0,52.4,95.5,42.9,31.35,92.95,9.15,2.1,174
26,La Rioja,2021,17946.0,16450.0,33159.0,16629.5,27693.0,13750.5,3.45,15.5,25.9,2.7,51.650000000000006,2.5,29.8,52.4,91.5,42.6,31.05,93.05,9.149999999999999,2.1,174
26,La Rioja,2022,18862.0,17150.0,35550.0,17348.0,28587.0,14396.0,3.4,14.9,25.2,1.6,52.8,2.6,29.5,52.1,99.0,43.5,30.5,91.6,9.3,2.1,167
26,La Rioja,2023,19723.5,17850.0,38245.5,18827.5,31874.5,15727.0,3.2,14.350000000000001,26.0,1.7,53.0,2.5,29.6,52.8,97.0,43.95,31.8,90.75,8.35,2.0,172
27,Lugo,2015,13881.0,12250.0,26135.0,10785.0,23615.0,9707.0,4.6,11.3,39.5,2.2,40.1,2.2,27.2,53.6,2.723,33.0,36.1,97.9,8.1,2.4,67
27,Lugo,2016,14220.0,12950.0,26831.0,11019.0,24050.0,9833.0,4.5,11.2,39.0,1.9,41.6,2.2,27.4,53.8,2.736,32.8,36.4,97.9,8.2,2.4,67
27,Lugo,2017,14766.0,13650.0,27643.0,11383.0,24524.0,10218.0,4.5,12.2,37.9,1.8,42.0,2.2,26.8,54.1,2.67,33.5,36.7,97.7,8.3,2.4,67
27,Lugo,2018,15484.0,14350.0,28721.0,11935.0,25612.0,10654.0,4.9,12.2,37.5,1.6,42.2,2.2,26.2,54.1,2.653,33.6,36.9,97.5,8.3,2.4,67
27,Lugo,2019,16181.0,15050.0,30157.0,12556.0,26844.0,11211.0,4.9,11.8,37.0,1.5,43.5,2.2,25.8,54.3,2.81,34.1,37.4,97.1,8.3,2.3,67
27,Lugo,2020,16545.0,15050.0,30383.0,12869.0,26852.0,11410.0,5.0,10.2,37.3,3.3,43.1,2.2,26.2,54.6,2.863,34.8,37.0,96.7,8.2,2.3,67
27,Lugo,2021,17064.0,15750.0,31846.0,13535.0,27624.0,11877.0,4.9,10.6,36.4,2.5,44.0,2.2,26.4,54.5,3.001,35.4,37.3,96.8,8.4,2.3,67
27,Lugo,2022,18307.0,16450.0,33578.0,14641.0,29069.0,12759.0,4.9,11.9,36.0,1.5,43.9,2.2,26.3,54.4,2.937,35.6,37.7,96.3,8.6,2.3,67
27,Lugo,2023,19713.0,17850.0,36317.0,15894.0,31199.0,13826.0,4.9,12.7,35.7,1.4,43.6,2.2,26.1,54.6,2.96,36.1,37.8,95.6,8.6,2.3,67
28,Madrid,2015,16720.0,14350.0,35125.0,12993.0,29582.0,10925.0,2.5,10.4,16.5,2.6,66.7,3.0,33.9,39.9,11.09,25.0,14.8,88.7,20.2,2.7,169
28,Madrid,2016,16970.0,15050.0,35368.0,13194.0,29986.0,11108.0,2.6,10.5,16.5,2.2,66.9,3.0,34.0,40.3,11.1225,24.2,14.9,89.1,20.2,2.7,169
28,Madrid,2017,17486.0,15750.0,36535.0,13785.0,30716.0,11546.0,2.6,10.5,16.8,1.9,67.2,2.8,32.4,40.4,11.223500000000001,24.7,14.8,89.4,20.2,2.7,169
28,Madrid,2018,18155.0,16450.0,37833.0,14363.0,31945.0,11919.0,3.0,10.8,16.3,1.8,67.1,2.8,32.1,40.9,11.3555,24.4,14.7,89.1,20.0,2.7,169
28,Madrid,2019,18979.0,17150.0,39616.0,15051.0,33503.0,12519.0,3.1,10.8,16.4,1.8,67.0,2.7,31.3,41.0,11.42,24.7,15.2,88.4,19.7,2.7,169
28,Madrid,2020,19350.0,17150.0,39325.0,15524.0,33176.0,12847.0,3.1,10.1,17.1,4.7,64.7,2.7,31.1,41.5,13.376999999999999,25.4,15.6,88.3,19.1,2.7,179
28,Madrid,2021,20028.0,17850.0,41370.0,16246.0,34529.0,13285.0,3.2,11.0,16.2,2.9,65.9,2.7,30.7,41.7,13.596,25.3,16.0,88.5,18.9,2.7,179
28,Madrid,2022,21399.0,19250.0,44257.0,17214.0,36638.0,14211.0,3.6,10.9,16.5,1.8,66.4,2.6,30.45,42.0,13.733,25.0,16.2,88.2,18.6,2.7,179
28,Madrid,2023,22726.0,19950.0,47439.0,18637.0,38622.0,15265.0,3.7,11.1,16.4,1.7,66.5,2.6,30.0,42.2,13.922,25.1,16.8,87.8,18.2,2.7,179
29,Málaga,2015,10886.0,10150.0,19964.0,8149.0,17977.0,7362.0,7.1,11.7,27.7,6.4,46.0,2.7,32.05,43.7,7.096,32.8,21.4,92.9,16.2,2.4,103
29,Málaga,2016,11035.0,10150.0,19884.0,8212.0,18148.0,7383.0,6.8,11.1,27.4,6.1,47.6,2.7,32.6,43.7,6.629,31.5,21.0,93.0,16.2,2.4,103
29,Málaga,2017,11678.0,10850.0,21360.0,8822.0,19209.0,7911.0,6.7,11.3,26.0,5.6,49.6,2.5,31.0,44.0,6.876,33.9,21.4,92.4,16.2,2.4,103
29,Málaga,2018,12482.0,11550.0,22710.0,9559.0,20269.0,8534.0,6.9,12.1,25.3,5.2,50.4,2.5,30.0,44.5,8.046,33.8,21.4,92.2,15.8,2.4,103
29,Málaga,2019,13014.0,12250.0,23834.0,10077.0,21284.0,8943.0,6.7,11.1,25.0,4.6,51.3,2.4,29.5,44.8,7.766,33.1,21.7,91.8,15.7,2.4,103
29,Málaga,2020,12965.0,11550.0,23305.0,9978.0,20833.0,8930.0,6.8,9.7,24.9,9.0,48.1,2.5,30.2,45.0,7.914,33.4,22.0,91.3,15.4,2.4,103
29,Málaga,2021,13842.0,12950.0,25137.0,10743.0,22368.0,9508.0,6.9,11.5,24.3,6.7,49.5,2.4,29.2,45.1,7.938,33.6,21.7,91.0,15.3,2.3,103
29,Málaga,2022,14773.0,13650.0,26463.0,11610.0,23477.0,10147.0,7.0,12.1,24.8,4.6,50.8,2.4,28.9,45.3,8.099,33.1,22.0,90.3,15.1,2.3,103
29,Málaga,2023,15792.0,14350.0,29219.0,12657.0,25648.0,11068.0,7.1,11.2,24.7,4.4,50.7,2.4,29.2,45.6,8.491,33.4,22.3,88.8,15.1,2.3,103
30,Murcia,2015,12303.0,10850.0,25778.0,9033.0,22664.0,7977.0,5.4,11.2,20.5,3.9,58.0,2.6,31.8,39.5,16.664,23.7,15.6,88.7,20.4,2.8,45
30,Murcia,2016,12563.0,11550.0,26593.0,9254.0,23302.0,8173.0,5.3,10.6,19.9,3.6,59.5,2.6,31.3,39.6,16.571,22.9,15.6,89.1,20.5,2.8,45
30,Murcia,2017,13273.0,12250.0,27971.0,9765.0,24389.0,8668.0,5.5,10.3,19.1,3.2,60.3,2.4,29.8,39.7,16.03,23.5,15.5,88.9,20.4,2.8,45
30,Murcia,2018,13790.0,12250.0,28833.0,10345.0,25189.0,9011.0,5.7,10.6,18.7,3.3,61.0,2.4,29.1,40.0,16.163,23.8,15.8,88.7,20.5,2.7,45
30,Murcia,2019,14435.0,12950.0,30328.0,10824.0,26547.0,9500.0,5.5,10.3,18.4,3.1,61.5,2.4,28.8,40.3,16.483,24.0,15.9,88.3,20.3,2.7,45
30,Murcia,2020,14740.0,13650.0,30708.0,11133.0,26932.0,9687.0,5.7,9.3,18.9,5.3,60.2,2.4,28.7,40.6,16.873,24.7,16.1,88.2,20.1,2.7,45
30,Murcia,2021,15338.0,13650.0,32148.0,11681.0,27965.0,10147.0,5.7,9.6,18.8,4.0,61.3,2.4,28.7,40.7,17.193,24.6,16.3,87.8,19.8,2.7,45
30,Murcia,2022,16126.0,14350.0,33526.0,12087.0,29179.0,10535.0,6.0,9.3,19.1,3.1,61.9,2.4,28.8,40.8,17.409,25.0,16.4,87.8,19.6,2.7,45
30,Murcia,2023,17215.0,15750.0,35898.0,13184.0,31196.0,11360.0,6.2,9.5,18.6,3.1,61.8,2.4,28.1,40.9,17.832,25.4,16.4,87.5,19.2,2.7,45
31,Navarra,2015,,,,,32843.0,13034.0,,,,,,,,45.3,152.0,29.4,23.1,95.8,16.7,2.5,229
31,Navarra,2016,,,,,32623.0,13016.5,,,,,,,,45.6,157.0,29.9,22.95,96.0,16.45,2.5,224
31,Navarra,2017,,,,,30749.0,11478.0,3.0,11.6,23.049999999999997,2.5,59.6,,,42.349999999999994,3.798,25.85,19.15,90.65,18.85,2.6,60
31,Navarra,2018,,,,,31808.5,11955.0,3.0,11.649999999999999,23.15,2.3,59.4,,,42.5,3.8280000000000003,25.75,19.4,89.85,18.9,2.7,60
31,Navarra,2019,,,,,32533.0,12246.0,3.1,10.2,23.8,2.3,59.8,,,42.5,3.812,25.5,19.5,88.6,19.0,2.7,61
31,Navarra,2020,,,,,34619.0,13884.0,4.0,8.9,24.7,4.8,56.6,,,46.5,109.0,32.150000000000006,24.45,94.6,15.5,2.5,272
31,Navarra,2021,22700.0,20854.0,48164.0,19427.0,38614.0,15444.0,3.5,17.45,22.5,2.2,54.15,2.5,31.0,46.9,107.0,32.650000000000006,24.85,94.7,15.55,2.4,272
31,Navarra,2022,24082.0,22133.0,49054.5,20430.0,40405.5,17026.0,3.6,18.2,23.2,1.6,53.1,2.4,30.4,46.7,109.0,33.25,24.85,94.1,15.149999999999999,2.4,272
31,Navarra,2023,25240.0,23394.0,51080.5,22075.0,41542.5,18102.5,3.7,17.299999999999997,23.5,1.45,53.0,2.4,29.85,46.8,106.5,33.3,25.4,93.95,14.95,2.4,272
32,Ourense,2015,13874.5,12250.0,23799.0,10837.0,21420.0,9760.5,4.45,10.8,42.849999999999994,2.7,39.0,2.4,29.7,55.4,2.2424999999999997,38.55,40.55,97.85,6.75,2.2,92
32,Ourense,2016,14121.0,12950.0,23911.5,10982.5,21493.0,9902.5,4.5,10.05,42.7,2.3,39.8,2.4,29.25,55.650000000000006,2.354,38.75,40.9,97.8,6.85,2.1500000000000004,92
32,Ourense,2017,14554.0,12950.0,24765.5,11478.5,22047.5,10274.5,4.5,10.5,41.55,2.1,40.349999999999994,2.4,28.9,55.95,2.3325,39.5,40.8,97.7,6.75,2.1,92
32,Ourense,2018,15265.0,13650.0,25704.5,12089.0,22978.5,10784.0,4.7,10.55,41.349999999999994,1.9,41.349999999999994,2.3,28.3,56.25,2.4275,39.849999999999994,40.75,97.4,6.95,2.1,92
32,Ourense,2019,15912.5,14350.0,26846.0,12616.5,23886.5,11278.0,4.9,10.149999999999999,40.65,1.9,42.400000000000006,2.3,27.9,56.0,2.3955,39.849999999999994,40.599999999999994,97.1,6.9,2.1,92
32,Ourense,2020,16232.5,15050.0,27321.0,12960.0,24191.5,11524.0,5.05,9.0,41.0,3.9,41.15,2.3,28.1,56.25,2.3965,40.599999999999994,40.75,97.0,6.9,2.1,92
32,Ourense,2021,16806.5,15050.0,28371.5,13599.5,24950.5,11942.0,5.05,10.0,39.75,2.9,41.45,2.4,27.799999999999997,56.25,2.4775,41.0,41.05,96.9,7.05,2.1,92
32,Ourense,2022,17606.5,16450.0,29576.5,14319.0,26186.0,12590.5,5.1,9.95,39.75,1.9,41.849999999999994,2.3499999999999996,27.6,56.150000000000006,2.371,41.05,40.5,96.3,7.35,2.1,92
32,Ourense,2023,18923.5,17150.0,32324.5,15529.5,28229.5,13583.0,5.1,10.45,39.849999999999994,1.9,42.150000000000006,2.3,27.2,56.2,2.404,41.95,41.0,95.95,7.5,2.05,92
33,Asturias,2015,15638.5,14350.0,28675.0,12397.0,25122.5,10809.0,6.0,10.5,36.5,2.2,43.2,2.5,29.7,50.05,8.452,34.25,29.65,97.6,10.6,2.3,78
33,Asturias,2016,16016.0,15050.0,29222.0,12750.0,25496.0,11068.0,6.0,10.2,35.95,1.9,44.95,2.5,29.75,50.4,9.0175,34.45,29.450000000000003,97.8,10.7,2.3,78
33,Asturias,2017,16479.5,15050.0,30006.0,13174.0,26223.5,11462.5,5.8,10.3,34.95,1.7,45.45,2.4,29.200000000000003,50.6,8.929,35.05,29.25,97.8,10.8,2.25,78
33,Asturias,2018,17034.5,15400.0,30975.0,13803.0,26972.0,11994.0,6.05,10.7,35.1,1.6,45.150000000000006,2.4,28.55,50.9,8.8415,35.6,29.4,97.65,10.850000000000001,2.2,78
33,Asturias,2019,17833.5,16450.0,32288.5,14457.0,27851.5,12462.0,6.0,10.4,34.55,1.6,45.65,2.4,28.299999999999997,51.05,8.74,36.6,29.85,97.4,10.95,2.2,78
33,Asturias,2020,18078.5,17150.0,32620.0,14829.5,28047.0,12656.0,6.15,9.55,34.8,3.8,44.150000000000006,2.4,28.2,50.85,8.681000000000001,35.45,30.0,97.35,10.850000000000001,2.2,78
33,Asturias,2021,18747.5,17500.0,33911.0,15540.5,28837.0,13245.0,6.2,10.95,33.6,2.5,45.6,2.3499999999999996,27.9,51.0,8.6045,36.45,30.5,97.2,10.850000000000001,2.2,78
33,Asturias,2022,19617.5,18550.0,36034.0,16329.0,30341.5,13982.0,6.3,11.149999999999999,33.650000000000006,1.6,46.150000000000006,2.3499999999999996,27.6,51.3,8.481,36.4,31.15,96.7,10.850000000000001,2.2,78
33,Asturias,2023,21015.0,19250.0,38035.0,17505.5,32131.0,14811.5,6.25,11.3,33.5,1.5,45.7,2.3,27.2,51.5,8.4235,37.150000000000006,31.7,96.3,10.8,2.1,78
34,Palencia,2015,15558.0,14350.0,27924.0,12380.0,24576.0,10755.0,3.2,20.4,28.6,1.8,44.0,2.4,28.7,52.5,188.0,36.4,32.6,97.4,7.9,2.3,123
34,Palencia,2016,15783.5,14350.0,28584.0,12676.5,25076.0,11036.0,3.1500000000000004,18.35,28.65,1.6,46.55,2.5,28.5,52.7,184.0,36.05,32.4,97.35,8.3,2.3,120
34,Palencia,2017,16026.0,14525.0,28741.5,12808.5,25193.0,11214.0,3.7,16.65,29.0,1.6,47.25,2.5,28.4,52.7,176.5,36.95,32.599999999999994,97.6,8.1,2.3,122
34,Palencia,2018,17060.0,15750.0,30447.5,13714.0,26764.0,11848.5,3.7,17.85,27.95,1.55,46.5,2.4,27.95,52.9,175.0,37.650000000000006,32.45,97.5,8.1,2.3,118
34,Palencia,2019,17755.0,16100.0,31781.0,14359.0,27684.0,12427.0,3.9,17.3,28.5,1.6,46.7,2.3,27.8,52.9,176.0,38.1,32.9,97.2,8.1,2.3,115
34,Palencia,2020,18083.0,16450.0,34654.0,16262.0,29874.0,13770.0,3.7,17.7,27.9,3.4,45.2,2.4,27.3,54.9,102.0,39.1,35.1,97.7,5.9,2.2,191
34,Palencia,2021,18933.0,17150.0,36646.0,17187.0,31208.0,14597.0,3.9,19.3,27.1,2.4,45.5,2.4,27.3,54.9,104.0,40.9,35.6,97.8,6.3,2.2,191
34,Palencia,2022,19720.0,17850.0,37008.0,17195.0,31167.0,14535.0,3.9,16.55,27.700000000000003,1.6,47.5,2.4,27.65,54.9,106.0,40.7,36.1,97.7,6.1,2.2,187
34,Palencia,2023,20727.0,19250.0,40272.0,18075.0,33499.0,15058.0,4.0,17.5,27.85,1.3,46.8,2.3,27.75,55.5,101.0,42.0,36.8,96.8,6.4,2.1,187
35,Las Palmas,2015,14121.0,12250.0,28888.5,10580.5,25108.5,9219.0,3.6,11.95,16.35,3.95,62.05,2.75,32.75,40.849999999999994,18.196,27.35,14.0,92.3,17.049999999999997,2.7,34
35,Las Palmas,2016,14432.5,12950.0,30017.0,10975.0,25997.0,9475.5,3.5999999999999996,11.5,16.15,3.6,62.849999999999994,2.7,32.55,40.8,18.17,26.4,13.9,92.44999999999999,17.0,2.7,34
35,Las Palmas,2017,15165.0,13650.0,31406.0,11564.5,26999.0,9905.0,3.9,11.75,16.2,3.1500000000000004,62.85,2.6500000000000004,31.25,41.2,18.2165,27.25,14.55,92.1,16.5,2.7,34
35,Las Palmas,2018,16025.0,14350.0,33164.5,12183.5,28566.0,10440.0,3.9499999999999997,12.2,16.45,2.8499999999999996,62.95,2.6,30.25,41.8,18.3815,27.799999999999997,15.2,91.85,16.200000000000003,2.7,34
35,Las Palmas,2019,16680.0,15050.0,34822.0,12820.0,29949.5,10954.5,4.1,12.149999999999999,16.25,2.95,63.05,2.5,30.15,42.3,18.5885,28.0,15.6,91.4,15.649999999999999,2.6500000000000004,34
35,Las Palmas,2020,16633.0,14350.0,34018.5,12753.0,29387.0,10945.5,4.6,10.3,17.6,9.05,56.75,2.6,30.75,42.8,18.5255,28.25,16.15,91.6,15.15,2.6,34
35,Las Palmas,2021,17362.5,15400.0,35787.5,13507.0,30623.0,11503.0,4.85,11.9,17.35,6.35,59.0,2.6,30.15,43.3,18.496000000000002,28.450000000000003,16.799999999999997,91.55000000000001,14.8,2.6,34
35,Las Palmas,2022,18847.5,17150.0,38684.5,14561.5,32988.5,12415.5,4.75,12.1,17.4,2.6,61.35,2.5,29.6,43.65,18.778,28.549999999999997,17.5,92.1,14.600000000000001,2.6,34
35,Las Palmas,2023,20301.0,17850.0,41916.0,15996.0,35575.5,13458.0,4.8,12.1,17.200000000000003,2.4,61.3,2.4,28.549999999999997,44.15,18.909,28.9,17.9,91.75,14.25,2.6,34
36,Pontevedra,2015,13440.0,12250.0,27616.0,10109.0,24332.0,8954.5,3.7,9.0,29.35,3.55,52.95,2.45,29.8,44.65,6.2215,27.85,22.4,98.1,15.25,2.6,62
36,Pontevedra,2016,13812.0,12950.0,28279.0,10370.0,24511.0,9092.0,3.7,9.0,28.5,3.1,54.2,2.4,29.5,45.0,6.362,26.8,22.7,98.2,15.2,2.6,61
36,Pontevedra,2017,14433.0,12950.0,29417.0,10791.0,25520.0,9467.0,3.8,9.0,28.4,2.7,54.9,2.3,28.6,45.2,6.303,28.1,22.8,98.0,15.0,2.6,61
36,Pontevedra,2018,15033.0,13650.0,30641.0,11358.0,26624.0,9964.0,4.1,9.0,27.9,2.4,55.5,2.3,28.1,45.6,6.279,28.4,23.2,97.8,14.9,2.6,61
36,Pontevedra,2019,15944.0,15050.0,31895.0,12090.0,27642.0,10576.0,4.2,9.3,27.6,2.4,55.4,2.3,27.3,45.9,6.323,28.4,23.4,97.4,14.8,2.6,61
36,Pontevedra,2020,16063.0,15050.0,32126.0,12243.0,28166.0,10691.0,4.4,8.1,28.3,5.3,53.1,2.3,27.3,46.1,6.376,28.4,23.8,97.4,14.6,2.5,61
36,Pontevedra,2021,16796.0,15750.0,34175.0,12884.0,29289.0,11191.0,4.4,9.2,27.4,3.5,55.2,2.3,26.7,46.5,6.489,28.9,24.1,97.3,14.4,2.5,61
36,Pontevedra,2022,17935.0,16450.0,36211.0,13838.0,30719.0,11980.0,4.4,9.6,27.6,2.3,55.6,2.2,26.9,46.9,6.538,29.4,24.5,96.7,14.1,2.5,61
36,Pontevedra,2023,19246.0,17850.0,38889.0,15133.0,33060.0,12981.0,4.4,9.8,27.6,2.2,55.7,2.2,26.4,47.1,7.582,30.0,25.0,96.3,13.8,2.5,61
37,Salamanca,2015,13508.5,11550.0,23558.0,10596.0,21081.5,9444.0,3.2,14.75,32.849999999999994,2.4,44.9,2.4,29.9,53.9,219.5,38.05,36.5,98.6,7.3,2.2,288
37,Salamanca,2016,13830.0,12250.0,24281.0,10895.0,21456.0,9730.0,3.0,14.5,32.4,2.1,45.5,2.4,30.2,54.2,217.0,38.5,36.5,98.7,7.4,2.2,287
37,Salamanca,2017,14379.5,12950.0,25121.5,11441.0,22203.5,10144.0,4.0,13.850000000000001,31.95,1.9,46.5,2.4,29.1,54.5,208.0,39.150000000000006,36.7,98.6,7.2,2.2,286
37,Salamanca,2018,15283.0,13650.0,26271.0,12189.0,23188.0,10767.0,4.1,15.0,30.1,1.8,46.9,2.3,28.5,55.0,207.0,39.4,37.3,98.5,7.2,2.1,279
37,Salamanca,2019,15759.0,14350.0,27136.0,12685.0,23828.0,11215.0,4.2,13.5,30.4,1.8,48.6,2.3,28.4,55.3,203.0,40.7,37.1,98.3,6.8,2.1,275
37,Salamanca,2020,16061.0,14350.0,26719.0,13816.5,23277.0,11980.0,4.1,12.3,30.5,4.0,48.0,2.4,28.4,55.95,157.5,42.05,38.0,98.3,6.3,2.1,362
37,Salamanca,2021,16839.0,15050.0,27961.0,14443.5,24158.0,12549.5,4.3,13.8,29.9,2.7,48.4,2.3,27.8,56.2,158.5,42.55,38.25,98.25,6.25,2.1,362
